timeStamp,totalThroughput,totalDownloadTime,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch
2025-04-08 13:25:10,503923,25.5,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-08 13:25:11,519253,25.142857142857142,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-08 13:25:12,787109,18.27777777777778,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.4;0.48;0.04;0.12;0.16;0.52;0.72;0.76;0.96],0.2400,-0.1503
2025-04-08 13:25:13,625632,3.25,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0133,-0.0432
2025-04-08 13:25:14,610301,3.148936170212766,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.4;0.44;0.12;0.16;0.68;0.8;0.8;0.8],0.1387,-0.0534
2025-04-08 13:25:15,5881195,3.5238095238095237,[1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.12;0.2;0.08;0.6;0.76;0.8;0.88],0.1223,-0.1028
2025-04-08 13:25:16,5538749,4.051282051282051,[1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.2;0.28;0.08;0.6;0.72;0.8;0.88],0.0933,-0.1324
2025-04-08 13:25:17,8194048,4.095238095238095,[1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.16;0.28;0.08;0.6;0.76;0.8;0.88],0.0965,-0.1247
2025-04-08 13:25:18,2655299,4.166666666666667,[1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.16;0.28;0.12;0.6;0.72;0.8;0.92],0.0980,-0.1380
2025-04-08 13:25:19,5282576,3.1041666666666665,[1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.16;0.28;0.12;0.6;0.72;0.8;0.92],0.0957,-0.1446
2025-04-08 13:25:20,2627277,2.0416666666666665,[1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.16;0.28;0.12;0.6;0.72;0.8;0.92],0.0973,-0.1469
2025-04-08 13:25:21,5939115,2.4791666666666665,[1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.48;0.2;0.28;0.12;0.6;0.68;0.8;0.92],0.0840,-0.1472
2025-04-08 13:25:22,3311837,2.9166666666666665,[1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0],[ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.4;0.56;0.12;0.76;0.48;0.92;0.6],-0.2908,-0.1336
2025-04-08 13:25:23,7078637,2.5294117647058822,[1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0],[ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.52;0.64;0.12;0.76;0.48;0.92;0.6],-0.3251,-0.1313
2025-04-08 13:25:24,3766800,2.185185185185185,[1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0],[ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.48;0.6;0.12;0.76;0.48;0.92;0.6],-0.3094,-0.1342
2025-04-08 13:25:25,7735523,2.857142857142857,[1;1;1;1;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;1;0;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.12;0.16;0.16;0.6;0.72;0.8;0.96],0.1431,-0.1560
2025-04-08 13:25:26,3968723,3.4827586206896552,[1;1;1;1;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;1;0;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.24;0.28;0.6;0.68;0.8;0.8],0.0194,-0.1205
2025-04-08 13:25:27,8466424,2.6451612903225805,[1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.12;0.4;0.48;0.08;0.76;0.6;0.88;0.76],-0.1946,-0.0975
2025-04-08 13:25:28,4497701,1.9090909090909092,[1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.12;0.4;0.48;0.12;0.76;0.6;0.92;0.76],-0.1995,-0.1181
2025-04-08 13:25:29,7600765,2.0833333333333335,[1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.12;0.4;0.48;0.12;0.76;0.6;0.92;0.76],-0.2013,-0.1267
2025-04-08 13:25:30,3103064,2.2962962962962963,[1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.16;0.36;0.48;0.12;0.72;0.6;0.92;0.8],-0.1451,-0.1409
2025-04-08 13:25:31,5432867,2.823529411764706,[1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.16;0.36;0.48;0.12;0.72;0.6;0.92;0.8],-0.1436,-0.1411
2025-04-08 13:25:32,2329803,3.4166666666666665,[1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.16;0.36;0.48;0.16;0.72;0.6;0.96;0.8],-0.1527,-0.1510
2025-04-08 13:25:33,4581061,3.375,[1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.16;0.36;0.48;0.16;0.72;0.6;0.96;0.8],-0.1420,-0.1550
2025-04-08 13:25:34,2251259,3.3333333333333335,[1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.16;0.36;0.48;0.2;0.04;0.64;0.6;1;0.84],-0.1611,-0.2056
2025-04-08 13:25:35,5287184,2.9,[1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.16;0.36;0.48;0.2;0.04;0.68;0.6;1;0.84],-0.2017,-0.2124
2025-04-08 13:25:36,3035925,2.5,[1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0;0],[ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.48;0.68;0.28;0.04;0.68;0.44;1;0.68],-0.3198,-0.2286
