timeStamp,totalThroughput,totalDownloadTime,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch
2025-04-08 13:35:43,738379,5.75,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-08 13:35:44,738379,5.75,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-08 13:35:45,1067691,4.861111111111111,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0347,0.0732
2025-04-08 13:35:46,889245,6.041666666666667,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0452,0.0619
2025-04-08 13:35:47,889245,6.041666666666667,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0222,-0.0514
2025-04-08 13:35:48,559933,9,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.24;0.28;0.36;0.4;0.8;0.76;0.8;0.8],-0.0939,-0.0154
2025-04-08 13:35:49,559933,9,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.6;0.6;0.08;0.08;0.88;0.52;0.88;0.52],-0.3860,-0.0010
2025-04-08 13:35:50,7604787,3.75,[1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_10_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.08;0.72;0.08;0.76;0.08;0.12;0.84;0.32;0.84;0.36],-0.5445,-0.0410
2025-04-08 13:35:51,14618995,2.8205128205128207,[1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_16_points;ent_video_18_points;ent_video_21_points;ent_video_23_points],[0.88;1;0.6;0.6;0.08;0.2;0.48;0.32;0.2;0.12],-1.4402,0.2217
2025-04-08 13:35:52,14618995,2.8205128205128207,[1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_12_points;ent_video_14_points;ent_video_16_points;ent_video_18_points;ent_video_19_points;ent_video_23_points],[0.16;0.2;0.96;1;0.76;0.6;0.12;0.76;0.04;0.36],-1.3641,-1.2223
2025-04-08 13:35:53,7014208,1.8421052631578947,[1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0],[ent_video_4_points;ent_video_5_points;ent_video_6_points;ent_video_7_points;ent_video_12_points;ent_video_13_points;ent_video_14_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.04;0.2;0.32;1;0.88;0.28;0.2;0.2;0.08;1;0.56],-0.6936,-1.1913
2025-04-08 13:35:54,7014208,1.8421052631578947,[1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0],[ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.04;0.32;0.76;0.48;0.2;0.48;0.28;1;0.84],-0.3513,-0.5947
2025-04-08 13:35:55,2590896,1.7777777777777777,[1;1;1;1;1;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.2;0.36;0.48;0.04;0.8;0.64;0.84;0.8],-0.1137,-0.0775
2025-04-08 13:35:56,9784267,2.392857142857143,[1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],0.0254,0.0118
2025-04-08 13:35:57,9830563,2.4827586206896552,[1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],-0.0159,0.0185
2025-04-08 13:35:58,7239667,2.8,[1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],-0.0339,-0.0291
2025-04-08 13:35:59,46296,5,[1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.28;0.28;0.28;0.8;0.8;0.8;0.8],-0.0011,-0.0678
2025-04-08 13:36:00,46296,5,[1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1],[ent_video_0_points;ent_video_1_points;ent_video_2_points;ent_video_3_points;ent_video_13_points;ent_video_15_points;ent_video_17_points;ent_video_19_points;ent_video_22_points],[0.56;0.32;1;0.8;0.4;0.12;0.36;0.76;0.04],1.2515,-0.4887
2025-04-08 13:36:01,9361389,1.4545454545454546,[1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;1;1],[ent_video_0_points;ent_video_1_points;ent_video_2_points;ent_video_3_points;ent_video_13_points;ent_video_15_points;ent_video_17_points;ent_video_19_points;ent_video_22_points],[0.2;0.16;1;0.96;0.76;0.6;0.12;0.72;0.36],1.3881,-1.1795
