timeStamp,totalThroughput,totalDownloadTime,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch,lowQualityRatio,bitrateInView,isReBuffer
2026-02-20 21:52:14,5744977,NaN,[2;0;2;0;0;2;0;2;0;0;2;2;0;2;0;0;2;2;2;2;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.4;0.2;0.36;0.2;0.2;0.2;1;1;0.6;0.6],0.0180,0.3919,0,5005504.239999999,false
2026-02-20 21:52:15,1036608,NaN,[2;0;2;0;0;2;0;2;0;0;2;2;0;2;0;0;2;2;2;2;0;0;0;0],[ent_video_4_points;ent_video_5_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.96;0.16;0.24;0.92;0.4;1;0.6;0.2;0.08],-0.6517,1.3740,0.11475409836065575,3435365.44,false
2026-02-20 21:52:16,682381,2.7777777777777777,[0;2;0;0;2;2;0;2;2;2;2;0;2;0;0;0;0;0;0;0;2;2;0;0],[ent_video_0_points;ent_video_4_points;ent_video_5_points;ent_video_8_points;ent_video_9_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points],[0.32;0.32;0.44;0.64;0.24;1;0.96;0.36;0.48],-0.4993,2.4683,0.44537815126050423,2048457,false
2026-02-20 21:52:17,4198533,250,[0;2;0;0;2;2;0;2;2;2;2;0;2;0;0;0;0;0;0;0;2;2;0;0],[ent_video_0_points;ent_video_1_points;ent_video_4_points;ent_video_5_points;ent_video_8_points;ent_video_9_points;ent_video_10_points;ent_video_11_points;ent_video_17_points;ent_video_21_points],[0.4;0.16;0.36;0.2;0.88;0.6;0.72;0.96;0.2;0.08],-0.2903,3.0443,0.3421052631578947,2384038.6000000006,false
2026-02-20 21:52:18,10787397,397.7096774193548,[0;0;0;0;2;2;0;2;2;2;2;0;2;0;0;0;0;0;0;0;2;2;0;0],[ent_video_0_points;ent_video_4_points;ent_video_5_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.16;0.92;0.16;0.12;0.92;0.56;1;0.8;0.2;0.12],-0.4407,1.3400,0.5511811023622049,1834988.9600000004,true
2026-02-20 21:52:19,13946609,824.1428571428571,[0;0;0;0;2;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0],[ent_video_0_points;ent_video_4_points;ent_video_5_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.16;0.92;0.16;0.12;0.92;0.56;1;0.8;0.2;0.12],-0.4407,1.3400,0.5511811023622049,1834988.9600000004,true
2026-02-20 21:52:20,12538128,926,[0;0;0;0;2;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0],[ent_video_0_points;ent_video_4_points;ent_video_5_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.16;0.92;0.16;0.12;0.92;0.56;1;0.8;0.2;0.12],-0.4407,1.3400,0.5511811023622049,1834988.9600000004,true
2026-02-20 21:52:21,9732769,847,[0;0;0;0;2;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0],[ent_video_0_points;ent_video_4_points;ent_video_5_points;ent_video_7_points;ent_video_8_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.12;0.16;0.92;0.16;0.08;0.88;0.56;1;0.8;0.2;0.12],-0.4412,1.3037,0.56,1772836.2400000005,false
2026-02-20 21:52:22,4382428,1694,[0;0;0;0;2;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.2;0.44;0.2;0.2;0.2;1;1;0.6;0.6],-0.0604,0.3062,0.8250000000000002,852099.9199999999,false
2026-02-20 21:52:23,1240424,NaN,[0;0;0;0;2;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_10_points;ent_video_11_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.16;0.48;0.28;0.2;0.12;1;0.92;0.6;0.6],-0.0887,0.2390,0.7931034482758622,991521.6399999999,false
