input_file,n,si,ti
video_3.mp4,1,28.558,
video_3.mp4,2,28.821,4.07
video_3.mp4,3,28.899,3.883
video_3.mp4,4,28.72,4.732
video_3.mp4,5,28.776,4.11
video_3.mp4,6,29.182,4.759
video_3.mp4,7,29.209,4.385
video_3.mp4,8,29.281,4.491
video_3.mp4,9,29.235,4.112
video_3.mp4,10,28.857,4.798
video_3.mp4,11,28.889,4.49
video_3.mp4,12,28.943,3.983
video_3.mp4,13,28.93,4.66
video_3.mp4,14,29.127,3.818
video_3.mp4,15,29.403,4.287
video_3.mp4,16,29.498,4.871
video_3.mp4,17,29.563,3.972
video_3.mp4,18,29.524,4.375
video_3.mp4,19,29.237,5.731
video_3.mp4,20,29.505,4.055
video_3.mp4,21,29.341,4.005
video_3.mp4,22,29.656,5.06
video_3.mp4,23,29.352,3.718
video_3.mp4,24,29.658,4.568
video_3.mp4,25,29.693,3.819
video_3.mp4,26,29.637,3.988
video_3.mp4,27,29.458,3.73
video_3.mp4,28,28.88,4.676
video_3.mp4,29,29.051,3.489
video_3.mp4,30,29.051,4.039
video_3.mp4,31,28.966,4.041
video_3.mp4,32,28.993,3.884
video_3.mp4,33,29.207,3.777
video_3.mp4,34,29.233,4.782
video_3.mp4,35,29.162,4.041
video_3.mp4,36,29.097,3.896
video_3.mp4,37,28.576,4.901
video_3.mp4,38,28.659,4.14
video_3.mp4,39,28.453,3.785
video_3.mp4,40,28.636,3.5
video_3.mp4,41,28.389,3.736
video_3.mp4,42,28.726,3.769
video_3.mp4,43,28.697,3.964
video_3.mp4,44,28.815,3.504
video_3.mp4,45,28.601,4.028
video_3.mp4,46,28.504,3.765
video_3.mp4,47,28.503,3.353
video_3.mp4,48,28.395,3.383
video_3.mp4,49,28.54,3.443
video_3.mp4,50,28.249,3.326
video_3.mp4,51,28.569,3.697
video_3.mp4,52,28.655,4.153
video_3.mp4,53,28.718,4.556
video_3.mp4,54,28.743,3.42
video_3.mp4,55,28.41,3.892
video_3.mp4,56,28.44,3.69
video_3.mp4,57,28.469,3.505
video_3.mp4,58,28.616,3.809
video_3.mp4,59,28.476,3.215
video_3.mp4,60,28.579,4.661
video_3.mp4,61,28.594,3.601
video_3.mp4,62,28.563,3.146
video_3.mp4,63,28.607,3.849
video_3.mp4,64,28.431,4.827
video_3.mp4,65,28.49,3.594
video_3.mp4,66,28.349,3.551
video_3.mp4,67,28.458,3.748
video_3.mp4,68,28.451,4.341
video_3.mp4,69,28.781,3.511
video_3.mp4,70,28.801,3.589
video_3.mp4,71,28.805,4.48
video_3.mp4,72,28.762,4.555
video_3.mp4,73,28.584,4.38
video_3.mp4,74,28.391,3.234
video_3.mp4,75,28.285,3.611
video_3.mp4,76,28.113,3.157
video_3.mp4,77,28.811,3.678
video_3.mp4,78,28.65,3.938
video_3.mp4,79,28.511,3.418
video_3.mp4,80,28.413,3.727
video_3.mp4,81,28.388,3.714
video_3.mp4,82,27.918,4.222
video_3.mp4,83,27.813,4.169
video_3.mp4,84,27.755,4.928
video_3.mp4,85,27.776,4.749
video_3.mp4,86,27.58,4.196
video_3.mp4,87,27.709,4.073
video_3.mp4,88,27.632,5.441
video_3.mp4,89,27.597,5.094
video_3.mp4,90,27.579,4.982
video_3.mp4,91,27.361,5.847
video_3.mp4,92,27.274,5.685
video_3.mp4,93,27.248,4.417
video_3.mp4,94,27.327,3.451
video_3.mp4,95,27.177,3.79
video_3.mp4,96,27.202,3.865
video_3.mp4,97,27.467,5.329
video_3.mp4,98,27.589,3.499
video_3.mp4,99,27.563,4.193
video_3.mp4,100,27.377,4.427
video_3.mp4,101,27.646,3.513
video_3.mp4,102,27.43,3.839
video_3.mp4,103,27.525,3.887
video_3.mp4,104,27.632,3.648
video_3.mp4,105,27.718,5.441
video_3.mp4,106,27.563,3.997
video_3.mp4,107,27.625,3.37
video_3.mp4,108,27.7,4.174
video_3.mp4,109,27.685,5.09
video_3.mp4,110,27.579,5.825
video_3.mp4,111,27.45,4.061
video_3.mp4,112,27.44,5.033
video_3.mp4,113,27.25,4.767
video_3.mp4,114,27.581,5.856
video_3.mp4,115,27.56,4.978
video_3.mp4,116,27.432,3.433
video_3.mp4,117,27.32,6.208
video_3.mp4,118,27.179,4.32
video_3.mp4,119,27.206,5.754
video_3.mp4,120,27.312,5.905
video_3.mp4,121,27.517,3.086
video_3.mp4,122,27.379,5.307
video_3.mp4,123,27.162,4.259
video_3.mp4,124,27.24,3.828
video_3.mp4,125,27.518,3.981
video_3.mp4,126,27.615,3.189
video_3.mp4,127,27.808,4.431
video_3.mp4,128,27.746,3.993
video_3.mp4,129,27.515,2.833
video_3.mp4,130,27.762,3.838
video_3.mp4,131,27.761,3.196
video_3.mp4,132,27.57,3.551
video_3.mp4,133,27.802,3.003
video_3.mp4,134,27.964,3.405
video_3.mp4,135,27.715,3.456
video_3.mp4,136,27.726,3.434
video_3.mp4,137,27.881,4.776
video_3.mp4,138,28.196,3.962
video_3.mp4,139,27.932,2.879
video_3.mp4,140,27.679,4.106
video_3.mp4,141,27.81,3.446
video_3.mp4,142,27.941,4.373
video_3.mp4,143,27.825,5.372
video_3.mp4,144,27.945,3.935
video_3.mp4,145,28.063,3.637
video_3.mp4,146,28.283,3.33
video_3.mp4,147,27.936,2.605
video_3.mp4,148,27.92,3.618
video_3.mp4,149,28.067,4.58
video_3.mp4,150,28.081,4.628
video_3.mp4,151,27.798,3.147
video_3.mp4,152,27.914,3.587
video_3.mp4,153,28.151,3.104
video_3.mp4,154,28.128,3.56
video_3.mp4,155,27.838,3.092
video_3.mp4,156,27.798,3.447
video_3.mp4,157,28.041,2.795
video_3.mp4,158,27.991,3.951
video_3.mp4,159,27.663,4.124
video_3.mp4,160,27.948,2.92
video_3.mp4,161,28.079,4.554
video_3.mp4,162,27.815,3.661
video_3.mp4,163,27.974,3.349
video_3.mp4,164,27.926,4.057
video_3.mp4,165,28.236,2.477
video_3.mp4,166,28.042,2.755
video_3.mp4,167,28.089,2.538
video_3.mp4,168,28.18,2.983
video_3.mp4,169,28.448,3.652
video_3.mp4,170,28.194,4.253
video_3.mp4,171,28.3,3.651
video_3.mp4,172,28.31,3.941
video_3.mp4,173,28.558,3.082
video_3.mp4,174,28.24,2.843
video_3.mp4,175,28.223,2.891
video_3.mp4,176,28.319,3.615
video_3.mp4,177,28.6,5.677
video_3.mp4,178,28.336,3.124
video_3.mp4,179,28.412,4.931
video_3.mp4,180,28.62,4.698
video_3.mp4,181,28.689,3.831
video_3.mp4,182,28.235,4.565
video_3.mp4,183,28.31,2.426
video_3.mp4,184,28.63,2.843
video_3.mp4,185,28.726,4.197
video_3.mp4,186,28.423,3.021
video_3.mp4,187,28.371,4.456
video_3.mp4,188,28.546,2.986
video_3.mp4,189,28.304,5.493
video_3.mp4,190,28.245,3.313
video_3.mp4,191,28.278,3.613
video_3.mp4,192,28.635,3.702
video_3.mp4,193,28.317,3.562
video_3.mp4,194,28.341,4.785
video_3.mp4,195,28.591,2.811
video_3.mp4,196,28.198,2.853
video_3.mp4,197,28.334,5.774
video_3.mp4,198,28.462,4.615
video_3.mp4,199,28.761,4.033
video_3.mp4,200,28.331,3.53
video_3.mp4,201,28.568,2.96
video_3.mp4,202,28.34,3.012
video_3.mp4,203,28.228,3.102
video_3.mp4,204,28.304,3.204
video_3.mp4,205,28.455,3.104
video_3.mp4,206,28.218,4.371
video_3.mp4,207,28.23,2.436
video_3.mp4,208,28.061,3.942
video_3.mp4,209,28.327,2.234
video_3.mp4,210,28.111,3.481
video_3.mp4,211,28.187,5.29
video_3.mp4,212,28.11,3.04
video_3.mp4,213,28.144,5.032
video_3.mp4,214,28.619,2.528
video_3.mp4,215,28.671,5.127
video_3.mp4,216,28.352,4.577
video_3.mp4,217,28.475,3.078
video_3.mp4,218,28.256,3.161
video_3.mp4,219,28.632,3.532
video_3.mp4,220,28.21,2.475
video_3.mp4,221,28.347,3.941
video_3.mp4,222,28.277,2.301
video_3.mp4,223,28.492,2.638
video_3.mp4,224,28.267,3.147
video_3.mp4,225,28.24,2.617
video_3.mp4,226,28.147,5.785
video_3.mp4,227,28.479,2.732
video_3.mp4,228,28.394,3.282
video_3.mp4,229,28.161,3.979
video_3.mp4,230,28.214,2.567
video_3.mp4,231,28.53,2.39
video_3.mp4,232,28.652,2.52
video_3.mp4,233,28.298,2.823
video_3.mp4,234,28.307,2.953
video_3.mp4,235,28.277,2.355
video_3.mp4,236,28.519,2.796
video_3.mp4,237,28.127,2.839
video_3.mp4,238,28.105,3.366
video_3.mp4,239,28.214,4.53
video_3.mp4,240,28.418,3.45
video_3.mp4,241,28.196,3.436
video_3.mp4,242,28.191,2.108
video_3.mp4,243,28.331,2.289
video_3.mp4,244,28.376,3.645
video_3.mp4,245,28.201,3.016
video_3.mp4,246,28.381,2.348
video_3.mp4,247,28.132,3.043
video_3.mp4,248,28.088,4.703
video_3.mp4,249,28.237,3.584
video_3.mp4,250,28.081,2.519
video_3.mp4,251,28.242,3.696
video_3.mp4,252,28.322,4.258
video_3.mp4,253,28.28,5.023
video_3.mp4,254,28.15,4.912
video_3.mp4,255,27.883,4.644
video_3.mp4,256,28.189,2.319
video_3.mp4,257,28.203,2.268
