input_file,n,si,ti
video_8.mp4,1,24.483,
video_8.mp4,2,24.489,0.097
video_8.mp4,3,24.499,0.205
video_8.mp4,4,24.502,0.133
video_8.mp4,5,24.52,0.118
video_8.mp4,6,24.523,0.126
video_8.mp4,7,24.503,0.21
video_8.mp4,8,24.49,0.159
video_8.mp4,9,24.51,0.175
video_8.mp4,10,24.496,0.209
video_8.mp4,11,24.498,0.145
video_8.mp4,12,24.515,0.126
video_8.mp4,13,24.526,0.12
video_8.mp4,14,24.494,0.277
video_8.mp4,15,24.492,0.151
video_8.mp4,16,24.514,0.141
video_8.mp4,17,24.503,0.191
video_8.mp4,18,24.505,0.119
video_8.mp4,19,24.52,0.11
video_8.mp4,20,24.504,0.184
video_8.mp4,21,24.502,0.117
video_8.mp4,22,24.504,0.136
video_8.mp4,23,24.511,0.1
video_8.mp4,24,24.527,0.148
video_8.mp4,25,24.581,0.594
video_8.mp4,26,24.552,0.189
video_8.mp4,27,24.55,0.128
video_8.mp4,28,24.563,0.128
video_8.mp4,29,24.561,0.177
video_8.mp4,30,24.564,0.127
video_8.mp4,31,24.594,0.193
video_8.mp4,32,24.554,0.255
video_8.mp4,33,24.545,0.134
video_8.mp4,34,24.552,0.135
video_8.mp4,35,24.564,0.133
video_8.mp4,36,24.554,0.274
video_8.mp4,37,24.564,0.129
video_8.mp4,38,24.57,0.107
video_8.mp4,39,24.539,0.198
video_8.mp4,40,24.527,0.171
video_8.mp4,41,24.53,0.106
video_8.mp4,42,24.533,0.213
video_8.mp4,43,24.537,0.107
video_8.mp4,44,24.554,0.178
video_8.mp4,45,24.567,0.307
video_8.mp4,46,24.542,0.374
video_8.mp4,47,24.556,0.46
video_8.mp4,48,24.596,0.503
video_8.mp4,49,24.59,0.554
video_8.mp4,50,24.598,0.558
video_8.mp4,51,24.627,0.64
video_8.mp4,52,24.661,0.795
video_8.mp4,53,24.671,0.844
video_8.mp4,54,24.671,0.843
video_8.mp4,55,24.7,0.861
video_8.mp4,56,24.694,0.89
video_8.mp4,57,24.714,0.908
video_8.mp4,58,24.746,1.072
video_8.mp4,59,24.717,0.88
video_8.mp4,60,24.692,0.85
video_8.mp4,61,24.685,0.847
video_8.mp4,62,24.707,0.855
video_8.mp4,63,24.706,0.985
video_8.mp4,64,24.707,0.866
video_8.mp4,65,24.731,0.852
video_8.mp4,66,24.71,0.871
video_8.mp4,67,24.702,0.851
video_8.mp4,68,24.698,0.844
video_8.mp4,69,24.71,0.988
video_8.mp4,70,24.711,0.823
video_8.mp4,71,24.721,0.824
video_8.mp4,72,24.742,0.815
video_8.mp4,73,24.724,0.844
video_8.mp4,74,24.704,0.992
video_8.mp4,75,24.712,0.817
video_8.mp4,76,24.722,0.813
video_8.mp4,77,24.72,0.798
video_8.mp4,78,24.733,0.799
video_8.mp4,79,24.762,0.773
video_8.mp4,80,24.727,0.926
video_8.mp4,81,24.709,0.681
video_8.mp4,82,24.693,0.612
video_8.mp4,83,24.703,0.511
video_8.mp4,84,24.684,0.435
video_8.mp4,85,24.692,0.322
video_8.mp4,86,24.698,0.136
video_8.mp4,87,24.666,0.236
video_8.mp4,88,24.657,0.18
video_8.mp4,89,24.665,0.156
video_8.mp4,90,24.678,0.154
video_8.mp4,91,24.676,0.265
video_8.mp4,92,24.686,0.149
video_8.mp4,93,24.673,0.184
video_8.mp4,94,24.664,0.156
video_8.mp4,95,24.671,0.136
video_8.mp4,96,24.687,0.234
video_8.mp4,97,24.707,0.139
video_8.mp4,98,24.736,0.579
video_8.mp4,99,24.709,0.23
video_8.mp4,100,24.693,0.17
video_8.mp4,101,24.675,0.278
video_8.mp4,102,24.69,0.213
video_8.mp4,103,24.692,0.148
video_8.mp4,104,24.712,0.146
video_8.mp4,105,24.7,0.221
video_8.mp4,106,24.683,0.207
video_8.mp4,107,24.672,0.309
video_8.mp4,108,24.687,0.217
video_8.mp4,109,24.687,0.239
video_8.mp4,110,24.699,0.208
video_8.mp4,111,24.723,0.203
video_8.mp4,112,24.689,0.255
video_8.mp4,113,24.668,0.265
video_8.mp4,114,24.674,0.124
video_8.mp4,115,24.687,0.122
video_8.mp4,116,24.68,0.177
video_8.mp4,117,24.689,0.114
video_8.mp4,118,24.696,0.16
video_8.mp4,119,24.674,0.191
video_8.mp4,120,24.666,0.135
video_8.mp4,121,24.676,0.144
video_8.mp4,122,24.689,0.125
video_8.mp4,123,24.677,0.216
video_8.mp4,124,24.69,0.334
video_8.mp4,125,24.697,0.282
video_8.mp4,126,24.658,0.408
video_8.mp4,127,24.626,0.43
video_8.mp4,128,24.617,0.408
video_8.mp4,129,24.616,0.626
video_8.mp4,130,24.604,0.511
video_8.mp4,131,24.607,0.529
video_8.mp4,132,24.614,0.543
video_8.mp4,133,24.587,0.595
video_8.mp4,134,24.587,0.631
video_8.mp4,135,24.633,0.832
video_8.mp4,136,24.594,0.763
video_8.mp4,137,24.57,0.71
video_8.mp4,138,24.578,0.624
video_8.mp4,139,24.593,0.66
video_8.mp4,140,24.579,0.817
video_8.mp4,141,24.593,0.67
video_8.mp4,142,24.596,0.674
video_8.mp4,143,24.588,0.725
video_8.mp4,144,24.596,0.784
video_8.mp4,145,24.689,1.08
video_8.mp4,146,24.699,0.927
video_8.mp4,147,24.662,0.91
video_8.mp4,148,24.661,0.867
video_8.mp4,149,24.685,0.909
video_8.mp4,150,24.667,0.929
video_8.mp4,151,24.65,1.146
video_8.mp4,152,24.675,0.913
video_8.mp4,153,24.62,0.848
video_8.mp4,154,24.585,0.831
video_8.mp4,155,24.562,0.824
video_8.mp4,156,24.622,0.941
video_8.mp4,157,24.654,0.81
video_8.mp4,158,24.674,0.843
video_8.mp4,159,24.695,0.852
video_8.mp4,160,24.678,0.843
video_8.mp4,161,24.669,0.834
video_8.mp4,162,24.652,1.026
video_8.mp4,163,24.65,0.782
video_8.mp4,164,24.628,0.705
video_8.mp4,165,24.625,0.645
video_8.mp4,166,24.65,0.572
video_8.mp4,167,24.675,0.816
video_8.mp4,168,24.66,0.162
video_8.mp4,169,24.636,0.237
video_8.mp4,170,24.624,0.282
video_8.mp4,171,24.662,0.32
video_8.mp4,172,24.633,0.425
video_8.mp4,173,24.626,0.651
video_8.mp4,174,24.665,0.588
video_8.mp4,175,24.612,0.594
video_8.mp4,176,24.581,0.466
video_8.mp4,177,24.586,0.33
video_8.mp4,178,24.613,0.507
video_8.mp4,179,24.605,0.451
video_8.mp4,180,24.601,0.435
video_8.mp4,181,24.63,0.406
video_8.mp4,182,24.601,0.459
video_8.mp4,183,24.58,0.405
video_8.mp4,184,24.632,0.559
video_8.mp4,185,24.649,0.454
video_8.mp4,186,24.659,0.508
video_8.mp4,187,24.683,0.499
video_8.mp4,188,24.704,0.511
video_8.mp4,189,24.655,0.77
video_8.mp4,190,24.633,0.565
video_8.mp4,191,24.673,0.584
video_8.mp4,192,24.649,0.629
video_8.mp4,193,24.655,0.616
video_8.mp4,194,24.674,0.638
video_8.mp4,195,24.69,0.931
video_8.mp4,196,24.684,0.76
video_8.mp4,197,24.684,0.816
video_8.mp4,198,24.744,0.834
video_8.mp4,199,24.718,0.9
video_8.mp4,200,24.738,1.205
video_8.mp4,201,24.798,1.018
video_8.mp4,202,24.797,1.084
video_8.mp4,203,24.793,1.128
video_8.mp4,204,24.808,1.155
video_8.mp4,205,24.838,1.187
video_8.mp4,206,24.825,1.538
video_8.mp4,207,24.792,1.269
video_8.mp4,208,24.832,1.29
video_8.mp4,209,24.839,1.391
video_8.mp4,210,24.848,1.469
video_8.mp4,211,24.851,1.965
video_8.mp4,212,24.924,1.676
video_8.mp4,213,24.94,1.816
video_8.mp4,214,24.942,1.903
video_8.mp4,215,24.946,1.984
video_8.mp4,216,25.022,2.085
video_8.mp4,217,25.006,2.735
video_8.mp4,218,24.99,2.369
video_8.mp4,219,25.06,2.485
video_8.mp4,220,25.148,2.628
video_8.mp4,221,25.183,2.821
video_8.mp4,222,25.266,3.54
video_8.mp4,223,25.271,3.184
video_8.mp4,224,25.242,3.303
video_8.mp4,225,25.168,3.392
video_8.mp4,226,25.17,3.503
video_8.mp4,227,25.182,3.704
video_8.mp4,228,25.185,4.693
video_8.mp4,229,25.297,4.304
video_8.mp4,230,25.297,4.617
video_8.mp4,231,25.264,4.88
video_8.mp4,232,25.335,5.158
video_8.mp4,233,25.455,6.526
video_8.mp4,234,25.518,6.125
video_8.mp4,235,25.548,6.566
video_8.mp4,236,25.673,7.132
video_8.mp4,237,25.546,7.689
video_8.mp4,238,25.323,9.671
video_8.mp4,239,25.434,9.128
video_8.mp4,240,25.559,9.476
video_8.mp4,241,25.654,9.652
video_8.mp4,242,25.32,9.53
video_8.mp4,243,24.972,9.317
video_8.mp4,244,24.987,9.848
video_8.mp4,245,24.822,8.566
video_8.mp4,246,25.117,8.02
video_8.mp4,247,25.104,7.245
video_8.mp4,248,25.208,6.685
video_8.mp4,249,25.101,6.631
video_8.mp4,250,25.161,2.786
video_8.mp4,251,25.31,1.91
video_8.mp4,252,25.258,2.511
video_8.mp4,253,25.232,2.948
video_8.mp4,254,25.163,3.412
video_8.mp4,255,25.25,4.551
video_8.mp4,256,25.235,3.898
video_8.mp4,257,25.236,4.087
video_8.mp4,258,25.291,3.959
video_8.mp4,259,25.349,2.855
video_8.mp4,260,25.211,7.508
video_8.mp4,261,25.544,8.536
video_8.mp4,262,26.145,8.949
video_8.mp4,263,25.067,10.284
video_8.mp4,264,25.156,8.665
video_8.mp4,265,25.201,9.731
video_8.mp4,266,25.387,10.993
video_8.mp4,267,24.923,7.718
video_8.mp4,268,24.967,4.698
video_8.mp4,269,24.97,1.37
video_8.mp4,270,24.935,1.493
video_8.mp4,271,25.0,1.983
video_8.mp4,272,24.965,1.762
video_8.mp4,273,24.958,1.836
video_8.mp4,274,24.958,1.89
video_8.mp4,275,25.043,1.841
video_8.mp4,276,25.026,1.704
video_8.mp4,277,25.039,1.573
video_8.mp4,278,27.234,9.752
video_8.mp4,279,27.465,10.421
video_8.mp4,280,27.541,11.458
video_8.mp4,281,27.28,11.514
video_8.mp4,282,27.185,11.819
video_8.mp4,283,27.483,9.906
video_8.mp4,284,27.339,9.122
video_8.mp4,285,27.475,7.998
video_8.mp4,286,27.337,6.999
video_8.mp4,287,27.061,8.857
video_8.mp4,288,26.08,10.16
video_8.mp4,289,26.491,8.674
video_8.mp4,290,26.283,8.66
video_8.mp4,291,26.271,8.412
video_8.mp4,292,27.289,8.404
video_8.mp4,293,26.492,9.537
video_8.mp4,294,25.96,8.261
video_8.mp4,295,25.556,7.969
video_8.mp4,296,25.868,7.719
video_8.mp4,297,25.811,7.955
video_8.mp4,298,25.639,8.062
video_8.mp4,299,26.038,9.247
video_8.mp4,300,25.45,8.187
video_8.mp4,301,25.045,8.425
video_8.mp4,302,24.726,8.577
video_8.mp4,303,25.053,8.57
video_8.mp4,304,25.106,9.555
video_8.mp4,305,25.242,8.098
video_8.mp4,306,25.464,8.796
video_8.mp4,307,24.82,9.608
video_8.mp4,308,24.924,10.218
video_8.mp4,309,24.616,10.549
video_8.mp4,310,25.882,11.514
video_8.mp4,311,25.127,9.857
video_8.mp4,312,24.551,9.645
video_8.mp4,313,24.61,9.393
video_8.mp4,314,25.802,9.133
video_8.mp4,315,25.118,11.035
video_8.mp4,316,24.964,10.6
video_8.mp4,317,26.417,10.917
video_8.mp4,318,25.721,11.16
video_8.mp4,319,25.179,11.176
video_8.mp4,320,24.512,11.348
video_8.mp4,321,25.091,12.913
video_8.mp4,322,25.172,10.757
video_8.mp4,323,25.638,10.076
video_8.mp4,324,26.095,11.271
video_8.mp4,325,25.385,13.21
video_8.mp4,326,25.908,15.814
video_8.mp4,327,25.623,14.699
video_8.mp4,328,25.993,15.219
video_8.mp4,329,27.924,16.128
video_8.mp4,330,27.098,17.653
video_8.mp4,331,26.729,19.092
video_8.mp4,332,27.337,14.041
video_8.mp4,333,27.645,18.288
video_8.mp4,334,29.188,18.824
video_8.mp4,335,27.5,19.832
video_8.mp4,336,26.436,19.425
video_8.mp4,337,26.918,21.287
video_8.mp4,338,28.961,21.301
video_8.mp4,339,27.651,23.157
video_8.mp4,340,26.695,21.926
video_8.mp4,341,27.051,21.892
video_8.mp4,342,28.644,20.642
video_8.mp4,343,26.765,17.0
video_8.mp4,344,25.346,14.267
video_8.mp4,345,25.994,12.614
