input_file,n,si,ti
video_2.mp4,1,22.446,
video_2.mp4,2,22.018,6.647
video_2.mp4,3,22.674,7.153
video_2.mp4,4,22.676,0.087
video_2.mp4,5,22.063,7.27
video_2.mp4,6,22.062,0.09
video_2.mp4,7,22.575,6.658
video_2.mp4,8,22.579,0.086
video_2.mp4,9,22.182,6.33
video_2.mp4,10,22.184,0.092
video_2.mp4,11,22.561,6.114
video_2.mp4,12,22.565,0.119
video_2.mp4,13,22.115,5.946
video_2.mp4,14,22.675,6.265
video_2.mp4,15,22.677,0.093
video_2.mp4,16,22.52,6.802
video_2.mp4,17,22.523,0.096
video_2.mp4,18,23.289,7.663
video_2.mp4,19,23.292,0.1
video_2.mp4,20,22.798,7.804
video_2.mp4,21,22.801,0.097
video_2.mp4,22,23.139,7.15
video_2.mp4,23,23.142,0.114
video_2.mp4,24,22.911,6.549
video_2.mp4,25,23.611,6.328
video_2.mp4,26,23.615,0.096
video_2.mp4,27,23.195,6.203
video_2.mp4,28,23.199,0.098
video_2.mp4,29,23.409,6.133
video_2.mp4,30,23.411,0.1
video_2.mp4,31,23.431,6.261
video_2.mp4,32,23.436,0.09
video_2.mp4,33,23.984,6.501
video_2.mp4,34,23.988,0.114
video_2.mp4,35,23.442,6.821
video_2.mp4,36,23.643,6.593
video_2.mp4,37,23.644,0.093
video_2.mp4,38,23.273,6.13
video_2.mp4,39,23.274,0.087
video_2.mp4,40,23.987,6.294
video_2.mp4,41,23.989,0.094
video_2.mp4,42,23.328,6.388
video_2.mp4,43,23.329,0.092
video_2.mp4,44,23.753,6.345
video_2.mp4,45,23.757,0.107
video_2.mp4,46,23.594,6.083
video_2.mp4,47,24.445,6.02
video_2.mp4,48,24.448,0.093
video_2.mp4,49,23.857,5.908
video_2.mp4,50,23.857,0.087
video_2.mp4,51,24.197,6.08
video_2.mp4,52,24.197,0.04
video_2.mp4,53,24.14,6.274
video_2.mp4,54,24.142,0.076
video_2.mp4,55,24.534,6.388
video_2.mp4,56,24.536,0.108
video_2.mp4,57,23.998,6.489
video_2.mp4,58,24.396,6.563
video_2.mp4,59,24.396,0.041
video_2.mp4,60,23.814,6.722
video_2.mp4,61,23.816,0.088
video_2.mp4,62,24.405,6.37
video_2.mp4,63,24.407,0.082
video_2.mp4,64,23.717,5.975
video_2.mp4,65,23.716,0.09
video_2.mp4,66,24.232,6.308
video_2.mp4,67,24.239,0.113
video_2.mp4,68,23.58,6.407
video_2.mp4,69,24.408,6.289
video_2.mp4,70,24.409,0.091
video_2.mp4,71,23.777,6.062
video_2.mp4,72,23.778,0.087
video_2.mp4,73,23.937,5.794
video_2.mp4,74,23.939,0.095
video_2.mp4,75,23.968,5.757
video_2.mp4,76,23.97,0.097
video_2.mp4,77,24.465,6.064
video_2.mp4,78,24.468,0.106
video_2.mp4,79,23.794,6.103
video_2.mp4,80,24.336,5.905
video_2.mp4,81,24.339,0.084
video_2.mp4,82,23.818,6.026
video_2.mp4,83,23.819,0.085
video_2.mp4,84,24.056,6.193
video_2.mp4,85,24.059,0.09
video_2.mp4,86,23.587,6.254
video_2.mp4,87,23.587,0.084
video_2.mp4,88,24.068,6.227
video_2.mp4,89,24.075,0.116
video_2.mp4,90,23.627,6.222
video_2.mp4,91,24.462,6.362
video_2.mp4,92,24.463,0.077
video_2.mp4,93,23.644,6.319
video_2.mp4,94,23.644,0.084
video_2.mp4,95,24.199,6.132
video_2.mp4,96,24.201,0.088
video_2.mp4,97,23.647,5.817
video_2.mp4,98,23.648,0.085
video_2.mp4,99,24.27,5.484
video_2.mp4,100,24.271,0.114
video_2.mp4,101,23.775,5.32
video_2.mp4,102,23.849,5.59
video_2.mp4,103,23.849,0.069
video_2.mp4,104,23.586,5.818
video_2.mp4,105,23.587,0.074
video_2.mp4,106,24.451,5.78
video_2.mp4,107,24.452,0.077
video_2.mp4,108,23.601,6.044
video_2.mp4,109,23.601,0.039
video_2.mp4,110,23.991,6.304
video_2.mp4,111,23.995,0.095
video_2.mp4,112,23.499,6.339
video_2.mp4,113,24.433,6.229
video_2.mp4,114,24.437,0.09
video_2.mp4,115,23.624,6.181
video_2.mp4,116,23.624,0.088
video_2.mp4,117,24.075,6.286
video_2.mp4,118,24.078,0.094
video_2.mp4,119,24.112,6.161
video_2.mp4,120,24.115,0.091
video_2.mp4,121,24.64,6.159
video_2.mp4,122,24.646,0.119
video_2.mp4,123,24.275,5.976
video_2.mp4,124,24.55,5.776
video_2.mp4,125,24.552,0.088
video_2.mp4,126,24.274,5.748
video_2.mp4,127,24.276,0.093
video_2.mp4,128,24.758,6.159
video_2.mp4,129,24.76,0.089
video_2.mp4,130,24.425,6.499
video_2.mp4,131,24.426,0.092
video_2.mp4,132,24.659,6.312
video_2.mp4,133,24.663,0.112
video_2.mp4,134,24.62,6.431
video_2.mp4,135,25.053,6.596
video_2.mp4,136,25.054,0.09
video_2.mp4,137,24.806,6.742
video_2.mp4,138,24.808,0.087
video_2.mp4,139,25.076,6.551
video_2.mp4,140,25.077,0.085
video_2.mp4,141,25.221,6.734
video_2.mp4,142,25.223,0.089
video_2.mp4,143,25.386,6.972
video_2.mp4,144,25.388,0.118
video_2.mp4,145,25.157,6.886
video_2.mp4,146,25.252,6.776
video_2.mp4,147,25.254,0.085
video_2.mp4,148,24.694,6.77
video_2.mp4,149,24.695,0.084
video_2.mp4,150,25.318,6.716
video_2.mp4,151,25.385,0.7
video_2.mp4,152,24.696,6.853
video_2.mp4,153,24.697,0.082
video_2.mp4,154,24.512,6.889
video_2.mp4,155,25.404,6.997
video_2.mp4,156,25.407,0.081
video_2.mp4,157,23.833,6.724
video_2.mp4,158,23.834,0.082
video_2.mp4,159,24.075,6.296
video_2.mp4,160,24.076,0.09
video_2.mp4,161,23.663,6.271
video_2.mp4,162,23.666,0.091
video_2.mp4,163,24.066,6.358
video_2.mp4,164,24.069,0.101
video_2.mp4,165,24.625,6.344
video_2.mp4,166,24.093,5.868
video_2.mp4,167,24.093,0.106
video_2.mp4,168,24.222,5.902
video_2.mp4,169,24.225,0.102
video_2.mp4,170,23.808,5.595
video_2.mp4,171,23.809,0.099
video_2.mp4,172,24.007,5.576
video_2.mp4,173,24.007,0.069
video_2.mp4,174,23.62,5.474
video_2.mp4,175,23.625,0.109
