timeStamp,totalThroughput,totalDownloadTime,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch
2025-04-08 13:56:32,738379,11.333333333333334,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-08 13:56:33,738379,11.333333333333334,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],],],0.0000,0.0000
2025-04-08 13:56:34,738379,11.333333333333334,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.08;0.16;0.04;0.2;0.56;0.68;0.84;1],0.2135,-0.2107
2025-04-08 13:56:35,889245,9.5,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.12;0.16;0.16;0.6;0.68;0.8;0.96],0.2067,-0.1957
2025-04-08 13:56:36,889245,9.5,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.12;0.16;0.16;0.6;0.68;0.8;0.96],0.2067,-0.1908
2025-04-08 13:56:37,889245,9.5,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.12;0.16;0.04;0.2;0.6;0.68;0.84;1],0.2097,-0.2060
2025-04-08 13:56:38,889245,9.5,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.6;0.04;0.16;0.12;0.32;0.44;0.6;0.92;1],0.2299,-0.3472
2025-04-08 13:56:39,889245,9.5,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_12_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.48;0.12;0.16;0.08;0.2;0.6;0.6;0.88;1],0.1492,-0.2524
2025-04-08 13:56:40,17685480,4.589743589743589,[1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.12;0.24;0.16;0.6;0.68;0.8;0.96],0.1179,-0.1794
2025-04-08 13:56:41,17779816,4.476190476190476,[1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0],[ent_video_0_points;ent_video_2_points;ent_video_5_points;ent_video_7_points;ent_video_13_points;ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.4;0.24;0.28;0.08;0.6;0.68;0.8;0.88],0.0503,-0.1430
