timeStamp,totalThroughput,totalDownloadTime,listQuality,visibleFaces,percentageVisibleFaces,yaw,pitch
2025-04-08 00:23:26,3700589,3.3541666666666665,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.24;0.28;0.12],-0.0331,0.2096
2025-04-08 00:23:27,3700589,3.3541666666666665,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.44;0.24;0.16;0.12],-0.0422,0.2280
2025-04-08 00:23:28,1795965,4.125,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.48;0.36;0.16;0.12],-0.0395,0.2657
2025-04-08 00:23:29,1721477,6.125,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.48;0.36;0.16;0.12],-0.0411,0.2486
2025-04-08 00:23:30,3290904,4.413043478260869,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.48;0.32;0.16;0.12],-0.0363,0.2426
2025-04-08 00:23:31,3378043,4.333333333333333,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.48;0.36;0.16;0.12],-0.0252,0.2557
2025-04-08 00:23:32,3198893,2.8333333333333335,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.48;0.32;0.16;0.12],-0.0409,0.2396
2025-04-08 00:23:33,1893389,2.730769230769231,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.4;0.24;0.24;0.12],-0.0474,0.2139
2025-04-08 00:23:34,3555744,12.217391304347826,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.4;0.24;0.2;0.12],-0.0448,0.2200
2025-04-08 00:23:35,2134011,14.972222222222221,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.4;0.24;0.24;0.12],-0.0485,0.2173
2025-04-08 00:23:36,3881040,14.142857142857142,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.24;0.32;0.16],-0.0560,0.2031
2025-04-08 00:23:37,2425707,4.769230769230769,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.44;0.24;0.2;0.12],-0.0466,0.2231
2025-04-08 00:23:38,2301091,4.416666666666667,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.44;0.24;0.2;0.12],-0.0449,0.2214
2025-04-08 00:23:39,2348688,3.3,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.24;0.2;0.12],-0.0242,0.2110
2025-04-08 00:23:40,5642605,2.3863636363636362,[0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.24;0.32;0.24],-0.1143,-0.1532
2025-04-08 00:23:41,7649493,2.732142857142857,[0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.24;0.24;0.24;0.24],-0.0018,0.1463
2025-04-08 00:23:42,5590944,2.5,[0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.28;0.48;0.12;0.16],0.0360,0.2315
2025-04-08 00:23:43,5072277,6.325,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.48;0.36;0.16;0.12],-0.0280,0.3159
2025-04-08 00:23:44,4088579,5.690476190476191,[1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.12;0.16],0.0418,0.2764
2025-04-08 00:23:45,5924693,4.777777777777778,[1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.44;0.12;0.12],0.0111,0.2398
2025-04-08 00:23:46,2951520,2.0357142857142856,[0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.24;0.24;0.24;0.24],0.0038,0.1819
2025-04-08 00:23:47,3545597,3.5833333333333335,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.24;0.28;0.24;0.24],0.0142,0.1527
2025-04-08 00:23:48,2041107,3.9444444444444446,[0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.44;0.4;0.12;0.12],-0.0060,0.2688
2025-04-08 00:23:49,3919776,3.5319148936170213,[0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.4;0.44;0.12;0.12],0.0067,0.3014
2025-04-08 00:23:50,2421491,2.5357142857142856,[0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.24;0.36;0.12;0.28],0.0331,0.2111
2025-04-08 00:23:51,3975069,2.638888888888889,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.24;0.32;0.24;0.32],0.0472,0.0968
2025-04-08 00:23:52,2077944,3.533333333333333,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.24;0.32;0.24;0.32],0.0484,0.1367
2025-04-08 00:23:53,3869469,3.8666666666666667,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.24;0.32;0.24],-0.0584,0.1865
2025-04-08 00:23:54,2058880,4.3,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.24;0.32;0.24],-0.0514,0.1651
2025-04-08 00:23:55,4112630,3.85,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.24;0.32;0.24],-0.0403,0.1619
2025-04-08 00:23:56,2279485,3.5172413793103448,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.24;0.32;0.24],-0.0341,0.1675
2025-04-08 00:23:57,4040739,3.238095238095238,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.24;0.32;0.24],-0.0402,0.1443
2025-04-08 00:23:58,1904283,2.75,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.24;0.32;0.24],-0.0282,0.1718
2025-04-08 00:23:59,3254064,3.5238095238095237,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.24;0.32;0.24],-0.1386,0.0682
2025-04-08 00:24:00,1426419,4.416666666666667,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.32;0.24;0.32;0.24],-0.1307,0.0510
2025-04-08 00:24:01,1926984,3.5869565217391304,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.12;0.16],0.0376,0.3608
2025-04-08 00:24:02,510413,3.875,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.12;0.16],0.0586,0.3187
2025-04-08 00:24:03,537408,3.8076923076923075,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.48;0.36;0.16;0.12],-0.0318,0.3428
2025-04-08 00:24:04,26995,3,[0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0],[ent_video_16_points;ent_video_17_points;ent_video_18_points;ent_video_19_points],[0.36;0.48;0.12;0.16],0.0280,0.3575
